RGI_ID,Corr_TempBias_MB,Corr_PrcpFac_MB,Mean_MB_Mean,Mean_MB_Std
RGI60-13.44740,-0.12088708101100414,0.9763980943775274,-275.7018622609828,10.097122969334663
RGI60-13.44741,-0.39492303074860097,0.9898459198265863,-855.2956761309417,13.80000810719414
RGI60-13.44742,-0.23093577757624628,0.9878809904994714,-641.0271869097683,14.188173508623308
RGI60-13.44743,-0.11017561459413394,0.9868463935961785,-139.4049350572586,12.086448646753642
RGI60-13.44744,-0.02731883891099754,0.9873995738775584,-383.88237018650676,12.62834372214516
RGI60-13.44745,-0.2169744203992701,0.9813645898942125,-304.82821425490766,10.681164943512735
RGI60-13.44746,-0.05397179527333103,0.9850409879592419,-400.44470675231037,11.511217837770632
RGI60-13.44747,-0.08070100217243434,0.9852438720241253,-742.3254275703721,12.30401443965477
RGI60-13.44748,-0.21240763340405813,0.9856324699165442,-967.0408464508379,12.689257420169872
RGI60-13.44749,-0.2228646953084454,0.9860674444582554,-531.0011982056756,13.068295695961835
RGI60-13.44750,-0.12329637423734517,0.9888163892914354,-376.57700842675587,12.558700714285608
RGI60-13.44751,-0.11528265108585624,0.9920283572863883,-565.0880662580865,15.348153202360132
RGI60-13.44752,-0.2133953291955451,0.9805005396251274,-759.8659981769666,10.958974906977732
RGI60-13.44753,-0.21290299735462603,0.9819249103101944,-484.2506692719007,10.72205545761973
RGI60-13.44754,-0.26034703479220433,0.9931980719105257,-648.4631008879976,14.358392724272825
RGI60-13.44755,-0.021452792757276587,0.9954869774780651,-22.783031760055007,21.393496111677777
RGI60-13.44756,-0.10229875144993891,0.9939194053489819,-353.5126581268351,18.519726914307054
RGI60-13.44757,-0.018772932196247764,0.9886469796846562,-319.8574808328674,13.368915353581306
RGI60-13.44758,-0.08632482526540988,0.9893294687243334,-635.9633110031787,14.323263027996864
RGI60-13.44759,-0.34711606162157704,0.9760048376040322,-931.9286006906276,8.967723206133568
RGI60-13.44760,-0.06897240588503281,0.993724524238402,-414.59481367814186,17.212323909288944
RGI60-13.44761,-0.17587627600156475,0.9767932892204104,-1056.2808248507429,10.952881367887422
RGI60-13.44762,-0.27360273597086154,0.9935765137691832,-753.7584887771147,17.281321157115826
RGI60-13.44763,-0.16833358838981002,0.9826672727728595,-755.3860925283096,10.535430730972347
RGI60-13.44764,-0.26124386124089355,0.9833425128306645,-646.643502233067,10.20058500036003
